threads,median_ms,mean_ms,stdev_ms,cv_pct,speedup,efficiency
1,297.000000,315.200000,29.986664,9.513535,1.000000,1.000000
2,187.000000,193.600000,15.339492,7.923291,1.588235,0.794118
4,149.000000,159.000000,20.346990,12.796849,1.993289,0.498322
